Year,ROA_Public,ROA_Private,ROA_Foreign,ROA_All,ROE_Public,ROE_Private,ROE_Foreign,ROE_All
2004-05,0.95,1.06,1.61,1.01,17.24,13.27,11.72,15.75
2005-06,0.88,1.07,2.08,1.01,15.39,13.34,14.18,14.77
2006-07,0.92,1.02,2.28,1.05,16.08,13.71,15.98,15.51
2007-08,1.00,1.13,2.09,1.12,17.13,13.43,16.05,15.98
2008-09,1.03,1.13,1.99,1.13,17.94,11.38,13.75,15.44
2009-10,0.97,1.28,1.26,1.05,17.47,11.94,7.34,14.31
2010-11,0.96,1.43,1.75,1.10,16.90,13.70,10.28,14.96
2011-12,0.88,1.53,1.76,1.08,15.33,15.25,10.79,14.60
2012-13,0.80,1.63,1.92,1.04,13.24,16.46,11.53,13.84
2013-14,0.50,1.65,1.54,0.81,8.48,16.22,9.03,10.69
2014-15,0.46,1.68,1.84,0.81,7.76,15.74,10.24,10.42
2015-16,-0.07,1.50,1.45,0.40,-3.47,13.81,8.00,3.58
2016-17,-0.10,1.30,1.61,0.36,-2.05,11.87,9.12,4.16
2017-18,-0.84,1.14,1.34,-0.15,-14.62,10.12,7.16,-2.81
2018-19,-0.65,0.63,1.56,-0.09,-11.44,5.45,8.77,-1.85
2019-20,-0.23,0.51,1.55,0.15,-4.16,3.30,8.76,0.78
2020-21,0.28,1.17,1.56,0.66,4.67,10.33,9.20,7.73
2021-22,0.55,1.45,1.41,0.91,8.83,12.20,8.03,10.15
2022-23,0.79,1.63,1.47,1.14,12.35,13.74,11.74,12.93
2023-24,0.96,1.87,1.65,1.35,14.67,15.83,9.43,14.61
2024-25,1.10,1.78,1.70,1.39,15.94,14.01,9.34,14.15
