date,credit_growth,repo_rate,inflation
2010-12-01,27.97,6.25,
2011-01-01,23.31,6.5,
2011-02-01,23.21,6.5,
2011-03-01,21.38,6.75,
2011-04-01,22.087273,6.75,
2011-05-01,22.457448,7.25,
2011-06-01,20.680931,7.5,
2011-07-01,18.67956,8.0,
2011-08-01,20.681497,8.0,
2011-09-01,19.548972,8.25,
2011-10-01,19.314636,8.5,
2011-11-01,17.662756,8.5,
2011-12-01,15.974669,8.5,
2012-01-01,16.455456,8.5,7.65
2012-02-01,15.632738,8.5,8.83
2012-03-01,16.990237,8.5,9.38
2012-04-01,17.540123,8.0,10.26
2012-05-01,17.8,8.0,10.36
2012-06-01,16.5,8.0,9.93
2012-07-01,17.279117,8.0,9.86
2012-08-01,17.6,8.0,10.03
2012-09-01,15.7,8.0,9.73
2012-10-01,15.898629,8.0,9.75
2012-11-01,17.040109,8.0,9.9
2012-12-01,15.09074,8.0,10.56
2013-01-01,16.040195,7.75,10.79
2013-02-01,16.288343,7.75,10.91
2013-03-01,14.063911,7.5,10.39
2013-04-01,14.61828,7.5,9.39
2013-05-01,15.140361,7.25,9.31
2013-06-01,13.468795,7.25,9.87
2013-07-01,14.690799,7.25,9.64
2013-08-01,16.28,7.25,9.52
2013-09-01,15.03,7.5,9.84
2013-10-01,16.030463,7.75,10.17
2013-11-01,13.867375,7.75,11.164274
2013-12-01,14.235248,7.75,9.87
2014-01-01,14.688673,8.0,8.604207
2014-02-01,15.715225,8.0,7.9
2014-03-01,13.946259,8.0,8.2
2014-04-01,13.778458,8.0,8.5
2014-05-01,12.530638,8.0,8.281734
2014-06-01,12.774061,8.0,6.8
2014-07-01,12.762869,8.0,7.4
2014-08-01,10.38,8.0,7.0
2014-09-01,9.641804,8.0,5.6
2014-10-01,10.7,8.0,4.6
2014-11-01,10.783134,8.0,3.267412
2014-12-01,10.053073,8.0,4.279476
2015-01-01,9.263881,7.75,5.193662
2015-02-01,8.877285,7.75,5.369718
2015-03-01,9.518987,7.5,5.25394
2015-04-01,9.774416,7.5,4.865334
2015-05-01,9.3,7.5,5.008636
2015-06-01,8.788918,7.25,5.398458
2015-07-01,10.0,7.25,3.691275
2015-08-01,8.8,7.25,3.740648
2015-09-01,9.124544,7.25,4.412989
2015-10-01,8.815138,6.75,4.995837
2015-11-01,9.332901,6.75,5.412157
2015-12-01,10.599386,6.75,5.61139
2016-01-01,11.079152,6.75,5.690377
2016-02-01,11.041645,6.75,5.263158
2016-03-01,10.911086,6.75,4.825291
2016-04-01,8.737768,6.5,5.468103
2016-05-01,9.386401,6.5,5.756579
2016-06-01,9.008751,6.5,5.772358
2016-07-01,8.4,6.5,6.067961
2016-08-01,8.903101,6.5,5.048077
2016-09-01,10.063101,6.5,4.385965
2016-10-01,8.680214,6.25,4.203013
2016-11-01,6.179128,6.25,3.633491
2016-12-01,6.03604,6.25,3.409992
2017-01-01,4.264233,6.25,3.167063
2017-02-01,3.646048,6.25,3.650794
2017-03-01,4.5,6.25,3.888889
2017-04-01,4.8,6.25,2.985075
2017-05-01,4.7,6.25,2.177294
2017-06-01,8.2,6.25,1.460415
2017-07-01,5.7,6.25,2.364607
2017-08-01,6.2,6.0,3.279939
2017-09-01,6.5,6.0,3.28495
2017-10-01,6.774146,6.0,3.576865
2017-11-01,9.267197,6.0,4.878049
2017-12-01,10.383152,6.0,5.214724
2018-01-01,6.886454,6.0,5.065234
2018-02-01,10.800219,6.0,4.441041
2018-03-01,6.726793,6.0,4.278075
2018-04-01,8.959882,6.0,4.576659
2018-05-01,12.8,6.0,4.870624
2018-06-01,10.861524,6.25,4.924242
2018-07-01,12.27033,6.25,4.172876
2018-08-01,13.4,6.5,3.692762
2018-09-01,12.5,6.5,3.698225
2018-10-01,14.6,6.5,3.379868
2018-11-01,16.2,6.5,2.325581
2018-12-01,13.9,6.5,2.113703
2019-01-01,14.8,6.5,1.972243
2019-02-01,14.7,6.25,2.565982
2019-03-01,13.3,6.25,2.857143
2019-04-01,13.0,6.0,2.990518
2019-05-01,13.5,6.0,3.0
2019-06-01,11.9,5.75,3.176895
2019-07-01,12.1,5.75,3.1
2019-08-01,10.2,5.4,3.276353
2019-09-01,8.8,5.4,3.994294
2019-10-01,8.9,5.15,4.619758
2019-11-01,7.2,5.15,5.539773
2019-12-01,7.0,5.15,7.351892
2020-01-01,7.2,5.15,7.593123
2020-02-01,6.1,5.15,6.576126
2020-03-01,6.1,4.4,5.840456
2020-04-01,6.8,4.4,7.2
2020-05-01,5.5,4.0,6.267606
2020-06-01,5.6,4.0,6.228132
2020-07-01,5.684605,4.0,6.7
2020-08-01,5.5,4.0,6.689655
2020-09-01,5.1,4.0,7.33882
2020-10-01,5.6,4.0,7.608696
2020-11-01,5.9,4.0,6.931359
2020-12-01,6.2,4.0,4.587766
2021-01-01,5.9,4.0,4.061252
2021-02-01,6.6,4.0,5.030181
2021-03-01,5.579588,4.0,5.5
2021-04-01,6.233398,4.0,4.2
2021-05-01,5.9,4.0,6.29556
2021-06-01,6.1,4.0,6.258235
2021-07-01,6.1,4.0,5.588044
2021-08-01,6.670248,4.0,5.300582
2021-09-01,6.7,4.0,4.324783
2021-10-01,6.908366,4.0,4.482323
2021-11-01,6.94053,4.0,4.908747
2021-12-01,9.252432,4.0,5.7
2022-01-01,8.18534,4.0,6.014075
2022-02-01,9.103455,4.0,6.066411
2022-03-01,9.6,4.0,6.951531
2022-04-01,11.0,4.0,7.794677
2022-05-01,12.5,4.4,7.0
2022-06-01,13.351359,4.9,7.0
2022-07-01,14.525597004471,4.9,6.7
2022-08-01,15.490349841421,5.4,6.998
2022-09-01,20.149239471516,5.9,7.414
2022-10-01,17.01969112,5.9,6.767
2022-11-01,17.26329076,5.9,5.879
2022-12-01,14.89166744,6.25,5.716
2023-01-01,16.2922934,6.25,6.518
2023-02-01,15.51525056,6.5,6.442
2023-03-01,15.00188302,6.5,5.664877757901
2023-04-01,15.65,6.5,4.703115814227
2023-05-01,15.25126515,6.5,4.3
2023-06-01,16.15892925,6.5,4.86674391657
2023-07-01,19.55,6.5,7.439446366782
2023-08-01,19.73449867,6.5,6.827309
2023-09-01,17.580598537237,6.5,5.019965772961
2023-10-01,20.39417794,6.5,4.867006225241
